@relation chutar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data
0.080074,-0.020068,0.996587,46.706207,36
-0.041782,0.145218,0.988517,50.558018,27
0.353139,-0.018949,0.935379,46.250961,38
-0.233479,0.130879,0.963513,45.636154,32
0.195461,0.195095,0.96111,37.980244,36
-0.277079,-0.036838,0.960141,26.154682,23
0.092099,0.151128,0.984214,48.464504,28
0.089252,0.177491,0.980067,41.64465,22
0.46453,-0.020326,0.885324,46.159184,29
0.384006,0.16457,0.908546,44.875484,38
-0.58449,-0.091095,0.806271,15.779514,20
-0.872529,-0.054845,0.485474,25.653545,33
-0.867638,0.222239,0.444764,28.085308,27
-0.429339,-0.019761,0.902927,45.955151,31
-0.47542,0.149668,0.866935,47.62096,38
-0.081794,-0.020808,0.996432,45.103603,29
-0.372607,0.150855,0.915646,48.812084,27
-0.376856,-0.019342,0.92607,48.347168,27
-0.511062,-0.048593,0.858169,18.074545,38
0.087795,0.4061,0.909602,17.845804,36
-0.510632,-0.048556,0.858428,18.074108,26
0.196418,0.392728,0.898435,18.328957,30
0.144343,-0.023182,0.989256,36.900677,24
-0.214188,-0.022881,0.976524,37.62056,32
0.141979,0.180284,0.973314,37.504707,35
-0.240438,0.159227,0.957516,46.338913,31
-0.461398,-0.022045,0.886919,42.302303,37
-0.156428,0.152124,0.975904,48.374363,22
-0.402684,0.217286,0.889175,30.703001,26
-0.467398,-0.065488,0.881618,12.217339,39
-0.365433,0.275268,0.889205,24.022991,24
0.298043,0.143948,0.943636,44.461163,33
0.041809,0.147043,0.988246,49.995502,21
0.073322,0.146861,0.986436,49.955257,30
0.175268,-0.020474,0.984308,45.758602,37
0.37636,-0.019015,0.926278,49.049816,21
0.385895,-0.026079,0.922174,36.397842,30
0.291009,-0.026283,0.956359,36.024025,36
-0.081116,0.196504,0.977142,37.523708,32
0.130132,-0.021656,0.99126,40.221233,39
0.186114,0.176679,0.966512,41.876564,31
0.394533,0.269157,0.878578,27.894558,37
0.400204,0.088305,0.912162,78.467842,32
0.240592,-0.01191,0.970553,73.714684,21
0.391272,-0.011292,0.920206,77.862167,39
0.265661,-0.011878,0.963993,74.029739,34
0.369302,-0.01145,0.929239,76.545364,35
0.24863,0.095378,0.963891,73.179611,24
0.210319,-0.012027,0.977559,71.78653,36
0.390469,0.091529,0.916055,76.116928,23
0.222964,-0.013023,0.97474,71.042366,36
0.394115,-0.012583,0.918975,74.991852,36
0.404724,0.092731,0.909725,75.099602,34
0.205734,0.100396,0.973444,69.565895,22
0.382156,0.095621,0.919137,73.30867,24
0.435795,-0.061637,0.897933,15.185921,21
-0.502708,-0.059188,0.862427,14.030248,22
-0.501372,0.412036,0.760823,15.796524,25
-0.180524,-0.025555,0.983239,33.536682,39
0.215428,-0.02537,0.97619,33.638245,28
-0.149826,0.198553,0.968571,33.996506,37
0.434885,-0.019304,0.900279,48.51495,25
0.3702,0.140842,0.918213,52.183662,35
0.126122,0.210683,0.969384,31.730782,23
-0.142177,-0.021779,0.989602,43.163204,33
0.468783,0.154617,0.869676,47.673538,34
0.36074,-0.018129,0.93249,51.522282,28
0.234482,-0.021044,0.971893,44.599003,20
0.269393,-0.018768,0.962847,49.842186,25
0.019864,-0.019486,0.999613,48.018192,39
-0.001784,0.15201,0.988377,48.365318,23
0.871147,0.158264,0.464818,46.597652,36
0.674413,0.245973,0.696178,28.090826,25
0.850059,-0.023566,0.526161,37.158279,38
0.695341,-0.032158,0.71796,27.391987,28
0.689075,-0.033192,0.723929,27.391813,21
0.85121,0.182737,0.491985,39.31752,36
0.083188,-0.021424,0.996304,43.817612,39
0.17621,-0.021163,0.984125,44.370049,22
0.128319,0.165892,0.97776,44.478401,24
0.327593,0.137937,0.934696,51.457832,38
0.300399,0.136602,0.943981,51.208759,33
0.639933,0.186306,0.745504,39.728737,34
0.802619,-0.045217,0.594776,21.802721,35
0.959998,-0.024343,0.278945,38.654102,35
0.873727,0.275823,0.400653,27.273277,29
0.945857,0.184056,0.267355,40.039497,38
0.806954,0.334756,0.486583,22.750088,28
0.747939,0.376218,0.546852,20.327585,36
0.86808,-0.043128,0.494547,22.696964,39
0.047599,0.173052,0.983762,41.900936,30
-0.036367,0.167582,0.985187,44.088287,26
-0.490277,0.269887,0.828728,27.942093,39
0.231875,-0.041018,0.97188,22.497257,32
-0.244114,-0.036752,0.96905,25.791523,38
0.49409,-0.018098,0.869222,50.869595,22
0.621354,0.394967,0.676699,16.129639,24
0.845258,-0.043031,0.532624,22.673836,32
-0.643762,-0.023387,0.764868,36.988342,39
0.918919,-0.021588,0.393855,50.701153,35
0.860263,-0.027917,0.509086,39.299843,39
0.912498,-0.022405,0.408468,48.662804,34
0.813796,0.192819,0.548231,36.192493,37
0.67143,-0.026862,0.740581,32.688396,38
0.671385,-0.026861,0.740621,32.689484,21
0.657002,0.20736,0.724811,33.282585,39
0.639036,0.21458,0.738639,32.594929,31
0.776597,0.176709,0.604708,40.04567,24
0.068875,0.164369,0.983991,44.895908,21
0.384982,0.152076,0.910309,48.420918,33
0.091807,0.164098,0.982163,44.928352,21
0.362153,-0.019171,0.931922,46.932823,37
0.149206,-0.02033,0.988597,44.419125,37
0.055073,0.166824,0.984447,44.448273,35
0.428119,-0.019259,0.903517,48.411362,22
0.428096,-0.019257,0.903528,48.413216,22
0.410349,-0.019429,0.911722,48.028324,31
-0.713396,-0.023795,0.700357,39.579296,27
-0.714299,0.18126,0.67596,40.761768,37
-0.479638,0.227265,0.847525,32.905277,20
0.179103,-0.027032,0.983459,44.876381,20
0.351844,0.150836,0.923826,48.263981,32
0.068042,-0.018481,0.997511,47.205482,33
0.335668,-0.017448,0.941819,49.840305,26
0.026769,0.14456,0.989134,47.589283,22
0.317655,0.139718,0.937856,49.846161,33
0.067639,0.147183,0.986794,47.459717,30
0.343484,0.138652,0.928867,49.806217,35
-0.673,0.151265,0.724009,45.781948,29
-0.472083,0.180287,0.862922,37.875378,35
-0.545485,0.171404,0.820406,40.05344,38
-0.755129,-0.020495,0.655256,45.804508,38
0.824381,-0.016216,0.565803,56.873043,38
0.824423,-0.016216,0.565742,56.869091,36
0.702327,0.157047,0.694314,46.66291,39
0.365714,0.161333,0.916638,45.757511,25
0.365731,0.151773,0.918263,48.529575,35
0.371469,-0.017919,0.928272,52.121513,25
0.298259,-0.019242,0.954291,48.659611,29
0.071638,0.159536,0.984589,46.209522,21
0.500987,-0.030188,0.864928,31.344133,37
0.0952,0.152462,0.983713,48.265495,35
0.101962,-0.0214,0.994558,43.904903,24
0.469303,-0.026214,0.882648,32.493984,30
0.060373,-0.027887,0.997786,30.893978,34
0.822253,0.322963,0.46861,23.096128,37
0.418222,-0.020901,0.908104,41.225285,22
0.758814,-0.044853,0.649761,18.251463,27
0.120384,0.467536,0.875738,13.211882,31
0.417373,-0.02049,0.908504,52.104641,21
