@relation parar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Tiempo numeric
@attribute TipoDePase {alto,bajo}
@attribute Fuerza numeric

@data
0.999369,-0.035532,0,0.51906,0.254438,bajo,0
0.999964,-0.008362,-0.001204,5.195164,0.537405,bajo,0
-0.999983,-0.005846,0,3.41691,1.256204,bajo,0
1,-0.000425,0.000014,6.074581,0.840408,bajo,0
0.999997,-0.002634,0,7.592227,0.660963,bajo,0
0.99908,-0.042884,0.000662,5.258026,0.723213,bajo,0
0.994464,0.104975,0.004706,4.460083,0.63961,alto,0
1,-0.00069,-0.000009,4.305872,1.150077,bajo,0
0.999996,-0.002686,-0.000567,3.309151,0.37139,bajo,0
0.999969,-0.007864,-0.000036,2.52844,1.076685,bajo,0
0.999999,-0.001602,0,12.146626,0.792689,bajo,0
1,-0.000884,0.000005,13.78949,0.938603,alto,0
-1,-0.000245,0.000007,9.328716,0.991143,alto,0
-0.999998,-0.002156,0,9.277864,1.223796,alto,0
-0.999991,-0.004253,-0.000003,2.548572,0.156938,bajo,0
1,-0.00012,0.000003,14.029982,1.126485,bajo,0
1,-0.000141,0.000003,12.102794,1.419167,alto,0
0.994255,0.107033,0.000014,14.051141,0.784262,alto,0
0.99877,-0.04958,-0.000156,5.322157,0.876477,bajo,0
-0.916416,-0.400226,-0.000002,30.230656,1.263983,alto,0
-0.953707,-0.300736,-0.000019,38.216747,0.903088,alto,0
-0.999998,-0.001939,0,10.311048,1.085188,alto,0
1,-0.000387,0.000009,0.828623,0.933443,bajo,0
-0.985028,0.172393,0.00001,4.804488,0.730205,alto,0
-0.999998,-0.001855,0.000001,6.920802,0.62023,bajo,0
-0.999992,-0.00404,-0.00001,3.876801,0.738317,bajo,0
-0.999379,-0.035241,0.000027,0.563004,0.558171,bajo,0
0.999997,-0.002464,0.000002,4.126521,1.185305,bajo,0
-0.776714,0.629854,-0.000026,2.363235,0.516596,alto,0
0.999999,-0.001415,-0.000007,4.486305,0.734039,bajo,0
-0.999964,-0.008501,0,2.352618,1.037893,alto,0
-0.999974,-0.007161,0,2.792676,1.371812,bajo,0
-0.99963,-0.027203,0,0.735209,0.724011,bajo,0
-0.567685,0.823246,0,1.037294,0.2522,bajo,0
