@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data
-0.256538,-0.011218,-0.966469,98.057007,9
-0.256533,-0.012894,-0.966449,97.914375,14
-0.256531,-0.013542,-0.966441,97.789276,6
0.834273,0.005832,-0.551321,118.37072,18
0.834271,0.005832,-0.551324,118.371941,5
0.834269,0.005832,-0.551326,118.40789,29
0.834215,0.005829,-0.551409,118.407951,18
0.834216,0.00557,-0.55141,118.40799,22
0.834219,0.004823,-0.551412,118.40799,22
0.834224,0.00356,-0.551415,118.407974,22
0.834227,0.002238,-0.551417,118.407845,14
0.834229,0.00102,-0.551418,118.37294,29
0.834099,0.000135,-0.551614,118.314552,5
0.833918,-0.000771,-0.551887,118.222916,9
0.833729,-0.002339,-0.552168,118.131607,27
0.833668,-0.003006,-0.552258,118.041435,16
0.833665,-0.003897,-0.552257,117.950562,18
0.833659,-0.005448,-0.552253,117.860611,26
0.833659,-0.005463,-0.552253,117.76889,14
0.833659,-0.005447,-0.552253,117.677483,29
0.833659,-0.00543,-0.552253,117.584908,8
0.833659,-0.005413,-0.552253,117.495377,17
0.833659,-0.005396,-0.552253,117.402344,24
0.833659,-0.005379,-0.552253,117.308052,29
0.833659,-0.005361,-0.552253,117.214378,5
-0.235654,0.007171,-0.971811,96.689842,6
-0.235655,0.007171,-0.97181,96.691971,5
-0.235656,0.007171,-0.97181,96.710014,16
-0.235663,0.007174,-0.971808,96.712929,17
-0.235663,0.007185,-0.971808,96.715698,18
-0.235663,0.006836,-0.971811,96.718102,20
-0.235753,0.00553,-0.971797,96.720413,25
-0.235942,0.004275,-0.971758,96.72258,27
-0.236169,0.002696,-0.971708,96.726425,24
-0.236324,0.00084,-0.971674,96.73008,20
-0.236388,-0.001038,-0.971658,96.732758,24
-0.236382,-0.002837,-0.971656,96.735451,14
-0.23635,0.007346,-0.97164,96.512985,13
-0.23635,0.007345,-0.97164,96.512863,26
-0.23635,0.007345,-0.97164,96.504814,7
-0.23635,0.00734,-0.97164,96.503807,27
-0.236351,0.006859,-0.971644,96.504059,25
0.848736,0.004715,-0.528796,72.99752,26
0.848703,0.004668,-0.528849,72.997528,24
0.848703,0.004669,-0.528849,72.99794,22
0.848703,0.004701,-0.528849,72.998573,18
0.848703,0.004733,-0.528848,72.999954,5
0.848703,0.004765,-0.528848,73.001419,16
0.642394,0.00649,-0.766347,83.898285,11
0.642381,0.006489,-0.766358,83.898018,18
0.642363,0.006489,-0.766373,83.887283,22
0.64165,0.006472,-0.76697,83.886772,12
0.641648,0.0043,-0.766988,83.886269,8
0.641652,0.002942,-0.76699,83.885536,12
0.641654,0.002049,-0.766991,83.88475,6
0.641656,0.000957,-0.766992,83.884247,19
0.641657,0.000146,-0.766991,83.884102,18
0.641658,-0.001107,-0.766991,83.883728,17
0.641742,-0.002966,-0.766915,83.882874,10
0.64176,-0.004806,-0.76689,83.882133,10
0.641755,-0.006422,-0.766883,83.881516,29
0.64175,-0.007472,-0.766878,83.881027,9
0.676763,0.009664,-0.736137,73.665161,11
0.676763,0.009664,-0.736137,73.663704,24
0.676762,0.009664,-0.736138,73.596458,13
0.676718,0.009653,-0.736179,73.596115,29
0.676724,0.008143,-0.736191,73.596352,13
-0.628708,0.012405,-0.777543,54.957203,24
-0.628722,0.012405,-0.777531,54.959656,9
-0.628734,0.012405,-0.777521,55.055923,25
-0.629197,0.012404,-0.777147,55.056072,10
-0.629198,0.012437,-0.777146,55.03598,22
-0.629277,0.012487,-0.77708,54.975613,17
-0.629526,0.012522,-0.776879,54.871979,5
-0.629882,0.012552,-0.776589,54.769135,15
-0.62987,0.012628,-0.776598,54.673744,10
-0.62987,0.012675,-0.776597,54.578609,24
-0.629869,0.012722,-0.776597,54.480762,9
-0.629869,0.012771,-0.776596,54.387142,29
-0.629869,0.012818,-0.776596,54.288124,17
-0.629868,0.012868,-0.776595,54.190006,14
-0.629868,0.012918,-0.776595,54.092285,22
-0.629868,0.012968,-0.776594,53.994137,6
-0.629844,0.01428,-0.776591,49.369713,15
-0.629844,0.01428,-0.776591,49.368389,17
-0.629844,0.014281,-0.776591,49.362892,24
0.579497,0.005049,-0.814959,137.630402,18
0.579494,0.005049,-0.814961,137.632996,23
0.579491,0.005049,-0.814963,137.66185,26
0.579466,0.003807,-0.814988,137.661789,19
0.579469,0.001939,-0.814992,137.66156,7
0.57947,0.000489,-0.814994,137.661545,9
0.57947,-0.000057,-0.814994,137.661514,21
0.57947,-0.000674,-0.814994,137.661484,11
0.579468,-0.00238,-0.814991,137.657166,22
0.579404,-0.003334,-0.815034,137.653,28
0.579349,-0.004218,-0.815069,137.64769,27
0.667102,0.011141,-0.744883,64.44516,17
0.667118,0.01114,-0.744869,64.444466,14
0.667133,0.01114,-0.744856,64.432663,26
0.963165,-0.045063,-0.265108,17.896488,13
0.963165,-0.045061,-0.265108,17.89707,16
0.963165,-0.045059,-0.265108,17.927019,10
0.963172,-0.044905,-0.26511,17.927584,21
0.963179,-0.044748,-0.265112,17.928032,15
0.963186,-0.044589,-0.265114,17.927912,12
0.963192,-0.044432,-0.265116,17.92749,24
0.9632,-0.044258,-0.265118,17.927155,9
0.963213,-0.043954,-0.265121,17.926903,17
0.96322,-0.043793,-0.265123,17.926685,8
0.963227,-0.043609,-0.265125,17.926523,24
0.963235,-0.04343,-0.265127,17.926411,6
0.963248,-0.043119,-0.265131,17.926325,13
0.963255,-0.042948,-0.265133,17.926256,12
0.963262,-0.042774,-0.265135,17.926142,10
0.963307,-0.041679,-0.265147,17.926088,9
0.963371,-0.040056,-0.265165,17.924349,22
0.96341,-0.039019,-0.265176,17.89642,15
0.963471,-0.037377,-0.265193,17.879246,14
0.963639,-0.036274,-0.264734,17.86404,18
0.964205,-0.034859,-0.262857,17.857594,13
0.964514,-0.033723,-0.261869,17.852259,8
0.964772,-0.032446,-0.261079,17.850805,8
0.965036,-0.030744,-0.260306,17.851261,14
0.965101,-0.029639,-0.260194,17.851425,21
0.965199,-0.027907,-0.260022,17.851332,15
0.965239,-0.026779,-0.259992,17.851162,16
0.965271,-0.025638,-0.25999,17.851019,18
0.965313,-0.0239,-0.260001,17.851076,6
0.965339,-0.022701,-0.260008,17.851101,28
0.965365,-0.0215,-0.260015,17.851118,26
0.9654,-0.019737,-0.260025,17.851126,13
0.965424,-0.018452,-0.260031,17.851133,27
0.965448,-0.017039,-0.260037,17.851139,26
0.965471,-0.015606,-0.260044,17.851143,11
0.965489,-0.014353,-0.260048,17.851149,10
0.965505,-0.013151,-0.260053,17.851152,12
0.965526,-0.011353,-0.260058,17.851156,7
